lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
S01009591,16,12,8,-8,-4,-47.1%,-32.3%,"17,885","23,121"
S01009592,13,12,8,-5,-4,-40.0%,-31.2%,"21,543","23,634"
S01009593,9,7,4,-5,-3,-59.5%,-45.8%,"11,235","16,436"
S01009594,9,7,4,-5,-3,-60.1%,-47.1%,"10,986","15,795"
S01009595,14,13,10,-4,-3,-28.5%,-23.9%,"26,747","26,893"
S01009596,9,7,4,-5,-3,-58.7%,-44.5%,"11,665","17,092"
S01009597,12,9,6,-6,-3,-52.5%,-36.8%,"14,905","21,025"
S01009598,9,7,5,-4,-2,-47.9%,-30.0%,"17,444","24,195"
S01009599,12,9,7,-5,-2,-43.8%,-24.0%,"19,564","26,816"
S01009600,12,9,6,-6,-3,-47.9%,-29.6%,"17,444","24,384"
S01009601,12,9,6,-6,-3,-47.7%,-29.6%,"17,526","24,384"
S01009602,9,7,5,-4,-2,-46.9%,-28.8%,"17,967","24,716"
S01009603,9,7,5,-4,-2,-47.1%,-28.8%,"17,860","24,716"
S01009604,12,9,6,-6,-3,-47.6%,-29.1%,"17,611","24,584"
S01009605,13,9,7,-6,-2,-45.9%,-24.1%,"18,488","26,766"
S01009606,16,15,14,-2,-1,-14.9%,-6.7%,"31,573","32,766"
S01009607,8,6,7,0,1,-5.8%,22.9%,"34,022","38,082"
S01009608,9,8,10,1,2,14.0%,30.0%,"37,617","38,809"
S01009609,11,9,10,-1,1,-6.5%,13.2%,"33,858","36,822"
S01009610,11,9,10,-1,1,-6.0%,13.6%,"33,973","36,887"
S01009611,12,10,14,2,4,13.2%,36.6%,"37,510","39,320"
S01009612,4,3,3,-1,0,-27.9%,-2.4%,"26,998","33,889"
S01009613,5,5,6,1,1,13.5%,20.6%,"37,547","37,814"
S01009614,14,13,14,0,1,0.3%,8.3%,"35,482","36,079"
S01009615,7,7,6,-1,-1,-12.2%,-12.8%,"32,306","30,913"
S01009616,7,7,8,1,1,13.5%,14.5%,"37,555","37,020"
S01009617,7,7,6,-1,-1,-12.2%,-12.8%,"32,306","30,913"
S01009618,13,12,13,-1,0,-5.4%,1.7%,"34,150","34,874"
S01009619,25,19,12,-12,-6,-49.5%,-32.9%,"16,555","22,861"
S01009620,28,20,13,-15,-7,-52.1%,-34.4%,"15,105","22,144"
S01009621,28,20,13,-15,-7,-52.0%,-34.2%,"15,178","22,232"
S01009622,24,18,12,-11,-6,-48.1%,-32.0%,"17,278","23,240"
S01009623,28,20,13,-15,-7,-51.9%,-33.9%,"15,237","22,339"
S01009624,29,21,16,-13,-6,-45.2%,-25.8%,"18,850","26,017"
S01009625,10,8,9,-2,1,-15.0%,9.9%,"31,533","36,317"
S01009626,25,15,14,-11,-1,-44.9%,-9.0%,"19,007","32,082"
S01009627,24,15,13,-12,-2,-48.6%,-15.6%,"17,001","29,986"
S01009628,25,15,13,-11,-2,-46.7%,-12.0%,"18,109","31,200"
S01009629,13,11,11,-2,-1,-15.2%,-5.8%,"31,476","33,019"
S01009630,12,10,10,-2,0,-15.3%,-1.1%,"31,446","34,235"
S01009631,18,12,9,-9,-3,-51.5%,-26.5%,"15,408","25,745"
S01009632,19,17,12,-7,-5,-35.3%,-28.1%,"23,781","25,036"
S01009633,25,15,14,-11,-1,-44.9%,-9.0%,"19,007","32,082"
S01009634,25,15,12,-14,-3,-54.0%,-22.6%,"14,121","27,403"
S01009635,26,18,17,-9,-1,-35.1%,-4.9%,"23,858","33,232"
S01009636,23,21,16,-7,-4,-30.3%,-21.2%,"25,963","27,970"
S01009637,26,18,17,-9,-1,-35.1%,-4.9%,"23,841","33,232"
S01009638,20,19,15,-5,-4,-23.5%,-18.9%,"28,736","28,835"
S01009639,16,13,11,-5,-2,-32.2%,-16.8%,"25,091","29,583"
S01009640,16,15,11,-5,-4,-30.7%,-25.4%,"25,769","26,195"
S01009641,42,30,24,-18,-6,-43.2%,-20.7%,"19,883","28,148"
S01009642,42,30,24,-18,-6,-43.4%,-21.0%,"19,792","28,037"
S01009643,5,4,4,-1,0,-14.7%,-6.1%,"31,603","32,922"
S01009644,9,8,10,1,2,6.0%,18.6%,"36,518","37,596"
S01009645,11,10,10,0,0,-2.9%,4.0%,"34,761","35,319"
S01009646,11,10,10,-1,1,-5.8%,5.2%,"34,028","35,542"
S01009647,24,17,16,-9,-1,-36.2%,-7.9%,"23,359","32,439"
S01009648,10,11,10,-1,-1,-4.9%,-5.7%,"34,247","33,032"
S01009649,7,7,9,1,2,18.0%,24.6%,"38,065","38,265"
S01009650,18,13,11,-7,-2,-40.4%,-15.2%,"21,329","30,153"
S01009651,14,9,8,-6,-1,-42.2%,-6.4%,"20,374","32,848"
S01009652,12,7,5,-7,-2,-54.9%,-25.5%,"13,616","26,179"
S01009653,12,7,5,-7,-2,-54.9%,-25.5%,"13,616","26,179"
S01009654,12,7,5,-7,-2,-54.9%,-25.5%,"13,616","26,179"
S01009655,7,7,8,1,1,13.6%,16.4%,"37,561","37,325"
S01009656,7,7,8,1,1,13.6%,16.4%,"37,561","37,325"
S01009657,7,7,8,1,1,13.6%,16.4%,"37,561","37,325"
S01009658,6,5,5,-1,0,-13.8%,-8.7%,"31,865","32,172"
S01009659,7,7,8,1,1,13.6%,16.4%,"37,561","37,325"
S01009660,6,5,5,-1,0,-14.4%,-8.7%,"31,689","32,172"
S01009661,9,9,9,0,0,4.6%,0.5%,"36,273","34,624"
S01009662,30,21,13,-17,-8,-57.8%,-38.2%,"12,179","20,309"
S01009663,13,9,8,-5,-1,-40.4%,-13.0%,"21,325","30,853"
S01009664,27,20,12,-15,-8,-55.6%,-40.4%,"13,244","19,126"
S01009665,12,10,6,-6,-4,-51.8%,-43.2%,"15,279","17,709"
S01009666,12,10,6,-6,-4,-51.8%,-43.2%,"15,279","17,709"
S01009667,17,13,8,-10,-6,-55.8%,-42.0%,"13,194","18,308"
S01009668,16,12,5,-11,-7,-66.3%,-55.0%,"7,879","11,601"
S01009669,23,17,11,-12,-6,-51.2%,-33.1%,"15,615","22,722"
S01009670,5,4,4,-1,0,-26.4%,-11.5%,"27,571","31,331"
S01009671,14,11,7,-7,-4,-48.2%,-34.0%,"17,228","22,304"
S01009672,12,8,5,-7,-2,-56.3%,-31.2%,"12,961","23,605"
S01009673,12,8,5,-7,-2,-56.3%,-31.2%,"12,961","23,605"
S01009674,11,7,5,-6,-1,-52.0%,-20.6%,"15,170","28,204"
S01009675,11,8,5,-6,-2,-51.1%,-29.1%,"15,632","24,584"
S01009676,6,4,3,-3,-2,-56.5%,-39.9%,"12,818","19,421"
S01009677,5,4,3,-2,-1,-37.9%,-16.4%,"22,531","29,737"
S01009678,5,4,3,-2,-1,-33.9%,-23.7%,"24,366","26,993"
S01009679,8,5,4,-4,-1,-55.8%,-23.2%,"13,189","27,158"
S01009680,8,5,4,-4,-1,-55.8%,-23.2%,"13,189","27,158"
S01009681,3,3,4,1,1,22.1%,15.6%,"38,464","37,197"
S01009682,6,6,6,-1,0,-11.7%,-6.3%,"32,450","32,879"
S01009683,10,9,8,-2,-1,-17.0%,-15.8%,"30,974","29,930"
S01009684,18,14,15,-3,1,-15.6%,7.0%,"31,387","35,850"
S01009685,8,5,9,2,4,22.1%,77.5%,"38,458","40,993"
S01009686,33,21,15,-17,-6,-53.3%,-28.6%,"14,466","24,829"
S01009687,23,16,7,-16,-8,-69.4%,-54.3%,"6,425","11,954"
S01009688,9,7,6,-3,-1,-29.8%,-8.8%,"26,169","32,140"
S01009689,31,21,8,-23,-13,-73.3%,-61.3%,"4,645","8,410"
S01009690,32,21,15,-17,-6,-53.4%,-28.9%,"14,427","24,652"
S01009691,32,21,15,-17,-6,-53.5%,-29.1%,"14,357","24,584"
S01009692,32,21,15,-17,-6,-53.8%,-29.5%,"14,229","24,398"
S01009693,18,15,13,-5,-2,-28.9%,-15.8%,"26,560","29,933"
S01009694,13,9,10,-3,2,-20.6%,18.2%,"29,763","37,542"
S01009695,3,3,4,1,1,20.2%,37.9%,"38,295","39,395"
S01009696,9,8,11,3,3,29.9%,39.8%,"39,145","39,541"
S01009697,21,17,10,-10,-6,-49.4%,-38.1%,"16,571","20,380"
S01009698,8,4,3,-5,-1,-64.6%,-22.8%,"8,689","27,318"
S01009699,8,4,4,-4,0,-53.5%,-3.2%,"14,372","33,646"
S01009700,5,4,4,0,0,-10.4%,3.5%,"32,832","35,231"
S01009701,8,4,4,-4,0,-53.0%,-5.0%,"14,644","33,203"
S01009702,5,3,2,-4,-2,-68.1%,-47.9%,"7,043","15,388"
S01009703,6,5,4,-2,-1,-35.4%,-22.1%,"23,738","27,580"
S01009704,6,5,4,-2,-1,-34.4%,-21.0%,"24,144","28,046"
S01009705,8,4,4,-4,0,-52.0%,-4.0%,"15,162","33,450"
S01009706,4,4,4,0,0,-1.2%,-1.2%,"35,137","34,184"
S01009707,9,4,4,-5,-1,-57.5%,-12.8%,"12,292","30,933"
S01009708,8,4,4,-5,-1,-56.1%,-12.4%,"13,027","31,066"
S01009709,4,4,4,0,0,-3.2%,-3.2%,"34,673","33,657"
S01009710,4,4,4,0,0,-2.1%,-2.1%,"34,956","33,974"
S01009711,4,4,4,0,0,-2.1%,-2.1%,"34,956","33,974"
S01009712,8,6,4,-4,-1,-49.5%,-22.2%,"16,560","27,547"
S01009713,3,2,2,-1,0,-18.0%,26.1%,"30,666","38,399"
S01009714,3,2,2,-1,0,-21.1%,21.3%,"29,603","37,904"
S01009715,7,4,4,-3,0,-45.4%,-9.5%,"18,792","31,910"
S01009716,24,18,14,-10,-5,-42.2%,-24.4%,"20,407","26,628"
S01009717,21,15,12,-8,-3,-40.1%,-19.0%,"21,462","28,797"
S01009718,23,20,14,-9,-6,-37.7%,-27.7%,"22,662","25,208"
S01009719,29,23,14,-15,-9,-50.8%,-37.9%,"15,813","20,436"
S01009720,29,23,14,-15,-9,-50.6%,-37.9%,"15,977","20,436"
S01009721,57,39,42,-15,3,-26.5%,6.9%,"27,527","35,843"
S01009722,57,39,33,-24,-6,-42.6%,-16.5%,"20,194","29,688"
S01009723,19,16,12,-7,-4,-35.0%,-23.0%,"23,886","27,265"
S01009724,27,21,16,-11,-5,-39.3%,-22.1%,"21,863","27,583"
S01009725,34,25,15,-18,-10,-54.9%,-39.5%,"13,657","19,671"
S01009726,57,39,42,-14,3,-25.3%,8.5%,"28,046","36,121"
S01009727,30,22,13,-17,-8,-55.9%,-38.0%,"13,122","20,400"
S01009728,12,11,6,-7,-5,-54.6%,-48.9%,"13,769","14,831"
S01009729,15,15,7,-8,-8,-53.2%,-52.7%,"14,516","12,833"
S01009730,22,20,12,-9,-8,-43.0%,-40.2%,"19,997","19,266"
S01009731,29,23,14,-15,-9,-50.7%,-38.2%,"15,887","20,354"
S01009732,57,39,42,-14,3,-25.2%,8.8%,"28,103","36,158"
S01009733,33,27,23,-10,-4,-31.1%,-15.0%,"25,618","30,203"
S01009734,34,27,24,-10,-3,-28.1%,-9.8%,"26,905","31,816"
S01009735,15,12,6,-9,-6,-59.2%,-48.7%,"11,371","14,905"
S01009736,57,39,42,-15,3,-26.7%,6.8%,"27,465","35,816"
S01009737,22,19,26,4,8,18.5%,42.2%,"38,129","39,667"
S01009738,36,28,21,-15,-8,-41.1%,-26.4%,"20,929","25,779"
S01009739,26,24,21,-5,-3,-19.4%,-13.3%,"30,182","30,758"
S01009740,19,18,14,-4,-4,-23.4%,-21.4%,"28,753","27,880"
S01009741,20,19,17,-3,-1,-14.4%,-7.3%,"31,717","32,608"
