lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
E01024446,10,7,1,-9,-6,-86.3%,-80.8%,608,"1,006"
E01024447,10,7,1,-9,-6,-86.2%,-80.5%,613,"1,045"
E01024448,2,2,1,-1,-1,-50.2%,-51.3%,"16,185","13,610"
E01024449,2,2,1,-1,-1,-49.4%,-51.3%,"16,613","13,610"
E01024450,3,2,1,-2,-1,-61.8%,-51.3%,"10,141","13,610"
E01024451,3,3,2,0,-1,-9.4%,-23.9%,"33,105","26,869"
E01024452,3,2,1,-2,-2,-76.4%,-68.5%,"3,323","5,035"
E01024453,4,3,1,-3,-2,-72.8%,-61.7%,"4,873","8,198"
E01024454,4,3,1,-2,-1,-65.3%,-50.1%,"8,374","14,216"
E01024455,3,3,2,-1,-1,-30.7%,-42.3%,"25,762","18,171"
E01024456,2,3,2,-1,-1,-33.5%,-43.8%,"24,559","17,395"
E01024457,4,4,2,-2,-2,-55.2%,-50.8%,"13,459","13,860"
E01024458,5,5,3,-2,-2,-37.2%,-33.3%,"22,867","22,634"
E01024459,6,5,5,-1,0,-20.0%,-1.1%,"29,980","34,225"
E01024460,6,6,4,-3,-2,-40.5%,-31.5%,"21,272","23,486"
E01024461,9,7,3,-6,-5,-70.2%,-63.1%,"6,047","7,519"
E01024462,4,4,4,0,0,10.1%,6.8%,"37,123","35,819"
E01024463,10,8,3,-6,-4,-65.5%,-57.0%,"8,242","10,521"
E01024464,4,5,1,-3,-3,-72.2%,-73.1%,"5,141","3,137"
E01024465,6,5,4,-2,-1,-35.5%,-24.1%,"23,679","26,803"
E01024466,5,4,3,-2,-1,-35.6%,-27.5%,"23,631","25,308"
E01024467,3,2,2,-1,0,-35.8%,-0.5%,"23,521","34,357"
E01024468,6,6,4,-2,-2,-36.9%,-30.1%,"23,009","24,163"
E01024469,13,11,8,-5,-2,-37.8%,-23.7%,"22,607","26,961"
E01024470,12,10,5,-7,-4,-55.2%,-44.4%,"13,510","17,125"
E01024471,13,10,7,-6,-3,-45.6%,-32.5%,"18,668","23,004"
E01024472,18,19,12,-7,-7,-36.3%,-38.2%,"23,293","20,349"
E01024473,23,21,12,-11,-8,-47.3%,-40.2%,"17,755","19,216"
E01024474,23,21,13,-10,-9,-44.9%,-41.0%,"19,029","18,790"
E01024475,23,22,13,-10,-9,-45.5%,-42.1%,"18,717","18,280"
E01024476,10,11,3,-7,-8,-70.7%,-72.9%,"5,828","3,215"
E01024477,23,21,12,-11,-9,-46.1%,-41.7%,"18,416","18,472"
E01024478,14,14,10,-3,-4,-24.9%,-25.9%,"28,214","25,978"
E01024479,17,18,11,-7,-8,-38.3%,-42.3%,"22,358","18,177"
E01024480,24,22,12,-11,-10,-47.5%,-43.9%,"17,633","17,375"
E01024481,14,14,10,-3,-4,-24.9%,-26.2%,"28,188","25,866"
E01024482,13,14,10,-3,-4,-24.7%,-25.9%,"28,292","25,978"
E01024483,12,12,6,-6,-6,-48.6%,-49.9%,"17,011","14,360"
E01024484,12,12,6,-6,-6,-49.2%,-50.7%,"16,683","13,928"
E01024485,12,12,6,-6,-6,-48.9%,-50.0%,"16,845","14,311"
E01024486,6,5,5,-1,0,-16.2%,-2.3%,"31,221","33,911"
E01024487,6,5,5,-1,0,-13.7%,4.6%,"31,903","35,443"
E01024488,6,5,5,-1,0,-14.5%,3.4%,"31,671","35,213"
E01024489,6,5,5,-1,0,-10.9%,7.3%,"32,659","35,910"
E01024490,2,2,3,0,0,13.1%,15.0%,"37,494","37,104"
E01024491,16,15,14,-2,-1,-11.8%,-8.4%,"32,425","32,284"
E01024492,10,8,7,-3,-2,-32.8%,-18.7%,"24,851","28,899"
E01024493,14,14,11,-3,-2,-21.3%,-17.9%,"29,514","29,186"
E01024494,14,14,7,-7,-7,-52.9%,-51.2%,"14,711","13,656"
E01024495,14,15,9,-5,-6,-37.5%,-39.2%,"22,757","19,804"
E01024496,14,14,13,-1,-1,-10.2%,-10.2%,"32,890","31,705"
E01024497,13,11,8,-4,-2,-32.9%,-21.5%,"24,801","27,821"
E01024498,21,21,18,-2,-2,-11.4%,-11.4%,"32,515","31,368"
E01024499,17,17,16,0,0,-1.9%,-1.9%,"34,988","34,010"
E01024500,19,19,18,-1,-1,-6.3%,-6.3%,"33,894","32,868"
E01024501,18,18,15,-4,-4,-19.9%,-19.9%,"30,015","28,447"
E01024502,26,26,32,5,5,20.1%,20.1%,"38,284","37,776"
E01024503,8,8,8,0,0,0.6%,0.6%,"35,575","34,644"
E01024504,14,14,13,-1,-1,-7.5%,-7.5%,"33,602","32,544"
E01024505,9,9,9,0,0,-1.7%,-1.7%,"35,019","34,051"
E01024507,32,32,35,3,3,9.2%,10.5%,"36,970","36,430"
E01024508,32,32,35,3,3,9.0%,10.2%,"36,940","36,365"
E01024509,12,12,14,2,2,16.7%,16.7%,"37,903","37,360"
E01024510,12,12,13,2,2,13.4%,13.4%,"37,532","36,857"
E01024511,24,24,23,-1,-1,-4.4%,-4.4%,"34,386","33,344"
E01024512,16,15,14,-2,-1,-11.6%,-7.9%,"32,461","32,427"
E01024513,16,16,14,-2,-2,-14.4%,-12.5%,"31,717","31,038"
E01024514,17,16,14,-3,-2,-15.9%,-13.1%,"31,314","30,836"
E01024515,14,14,13,-2,-2,-11.1%,-11.1%,"32,601","31,469"
E01024516,4,4,4,0,0,-9.1%,-9.1%,"33,183","32,056"
E01024517,23,23,26,3,3,13.9%,14.2%,"37,599","36,982"
E01024518,15,15,14,-1,-1,-5.7%,-5.7%,"34,054","33,038"
E01024519,11,11,12,1,2,9.0%,18.1%,"36,931","37,537"
E01024520,16,16,13,-3,-2,-17.6%,-14.7%,"30,782","30,305"
E01024521,12,11,13,1,1,4.9%,9.4%,"36,343","36,252"
E01024522,11,11,12,1,2,7.5%,14.5%,"36,715","37,023"
E01024523,7,7,8,1,1,10.1%,10.1%,"37,108","36,344"
E01024524,11,11,12,1,1,10.2%,10.2%,"37,131","36,376"
E01024525,11,11,12,1,2,8.0%,14.5%,"36,789","37,023"
E01024526,11,10,11,1,1,6.5%,12.1%,"36,575","36,692"
E01024527,10,10,12,2,2,20.9%,20.9%,"38,355","37,857"
E01024528,11,10,11,0,1,-0.4%,4.9%,"35,328","35,493"
E01024529,7,7,9,3,3,39.0%,39.0%,"39,782","39,474"
E01024530,7,7,9,3,3,38.2%,38.2%,"39,739","39,412"
E01024531,11,11,12,1,1,13.9%,13.9%,"37,602","36,940"
E01024532,3,3,3,-1,0,-20.4%,-9.0%,"29,852","32,098"
E01024533,4,3,3,-1,-1,-26.8%,-16.5%,"27,444","29,698"
E01024534,7,7,5,-2,-2,-33.7%,-33.7%,"24,429","22,441"
E01024535,7,7,5,-2,-2,-25.1%,-25.1%,"28,113","26,310"
E01024536,2,2,2,-1,-1,-24.7%,-22.3%,"28,259","27,525"
E01024537,5,5,5,0,0,-1.6%,-3.3%,"35,043","33,637"
E01024538,7,5,6,-1,0,-12.5%,6.9%,"32,204","35,843"
E01024539,7,7,7,-1,0,-6.8%,4.1%,"33,800","35,337"
E01024540,7,6,7,0,1,0.0%,16.9%,"35,411","37,378"
E01024541,7,7,8,2,2,21.8%,21.8%,"38,430","37,965"
E01024542,5,5,9,4,4,72.7%,72.7%,"41,043","40,886"
E01024544,4,4,5,1,1,27.4%,27.4%,"38,928","38,554"
E01024545,3,3,3,0,0,8.8%,13.9%,"36,909","36,928"
E01024546,3,2,2,-1,-1,-29.6%,-24.0%,"26,297","26,816"
E01024547,2,2,3,0,0,8.3%,17.0%,"36,826","37,388"
E01024548,1,1,1,0,0,35.2%,35.2%,"39,579","39,226"
E01024549,5,5,6,1,1,19.9%,19.9%,"38,266","37,754"
E01024550,6,6,5,-1,-1,-11.5%,-12.6%,"32,492","30,976"
E01024551,8,8,6,-2,-2,-26.5%,-26.5%,"27,554","25,745"
E01024552,5,5,4,-1,-1,-16.4%,-16.4%,"31,154","29,737"
E01024553,8,8,6,-2,-2,-28.0%,-28.0%,"26,965","25,082"
E01024554,8,10,5,-3,-5,-34.6%,-46.9%,"24,066","15,901"
E01024555,1,1,1,0,0,-13.3%,-18.7%,"32,025","28,890"
E01024556,6,6,5,-1,-1,-17.6%,-17.6%,"30,786","29,303"
E01024557,4,3,2,-1,-1,-32.8%,-19.0%,"24,814","28,785"
E01024558,4,4,3,-1,-1,-21.0%,-21.0%,"29,627","28,028"
E01024559,19,21,11,-8,-9,-40.1%,-45.0%,"21,490","16,853"
E01024560,17,17,8,-9,-10,-53.3%,-55.2%,"14,481","11,452"
E01024561,19,20,11,-8,-9,-40.8%,-45.0%,"21,130","16,833"
E01024562,15,15,9,-6,-6,-38.6%,-40.2%,"22,218","19,249"
E01024563,7,7,5,-2,-2,-23.5%,-23.5%,"28,710","27,039"
E01024564,3,3,3,1,1,22.1%,22.1%,"38,460","37,991"
E01024565,4,3,3,0,0,-9.0%,0.9%,"33,215","34,710"
E01024566,1,1,1,-1,-1,-43.8%,-45.3%,"19,593","16,665"
E01024567,16,16,9,-7,-7,-41.7%,-43.3%,"20,627","17,667"
E01024568,9,10,7,-2,-3,-24.2%,-34.3%,"28,474","22,176"
E01024569,9,10,6,-4,-4,-38.9%,-41.7%,"22,055","18,452"
E01024570,5,7,2,-4,-5,-67.4%,-74.5%,"7,366","2,664"
E01024571,4,4,2,-2,-3,-57.2%,-58.5%,"12,458","9,770"
E01024572,3,4,2,-2,-2,-48.1%,-55.3%,"17,271","11,386"
E01024573,2,2,1,-1,-1,-52.4%,-55.2%,"14,954","11,444"
E01024575,2,2,1,-1,-1,-50.2%,-53.3%,"16,200","12,513"
E01024576,8,7,3,-5,-5,-63.8%,-61.8%,"9,111","8,161"
E01024577,5,5,5,0,0,-1.3%,-1.3%,"35,117","34,161"
E01024578,3,3,1,-2,-2,-57.5%,-58.6%,"12,292","9,725"
E01024579,5,5,3,-2,-3,-45.4%,-47.2%,"18,780","15,739"
E01024580,2,2,2,0,0,10.5%,4.4%,"37,163","35,399"
E01024581,2,2,2,0,0,-3.1%,-3.1%,"34,706","33,692"
E01024582,9,9,5,-4,-4,-45.8%,-43.8%,"18,558","17,448"
E01024583,7,7,3,-5,-5,-62.4%,-62.4%,"9,824","7,826"
E01024584,8,9,5,-3,-4,-40.4%,-45.5%,"21,333","16,560"
E01024585,6,6,5,-1,-1,-16.4%,-16.4%,"31,154","29,737"
E01024586,4,4,3,-1,-1,-25.5%,-25.5%,"27,979","26,156"
E01024587,6,7,6,0,-1,0.7%,-10.7%,"35,591","31,567"
E01024588,3,3,4,1,1,17.1%,16.8%,"37,947","37,368"
E01024589,5,5,6,1,1,12.6%,12.6%,"37,417","36,748"
E01024590,9,8,5,-4,-3,-40.5%,-33.7%,"21,272","22,455"
E01024591,3,3,2,-1,-1,-24.6%,-35.5%,"28,325","21,576"
E01024592,8,9,5,-3,-4,-38.2%,-44.5%,"22,414","17,102"
E01024593,4,3,2,-2,-1,-43.9%,-23.9%,"19,551","26,872"
E01024594,5,5,5,0,0,-6.9%,-6.9%,"33,768","32,715"
E01024595,6,7,6,0,-1,-5.3%,-11.6%,"34,161","31,312"
E01024596,5,5,5,0,0,-4.0%,-4.0%,"34,479","33,439"
E01024597,3,3,1,-1,-1,-54.1%,-54.1%,"14,061","12,042"
E01024598,7,7,6,-1,-1,-12.8%,-12.8%,"32,135","30,901"
E01024599,10,10,4,-6,-6,-57.0%,-57.9%,"12,557","10,082"
E01024600,9,9,5,-4,-4,-41.1%,-44.5%,"20,949","17,102"
E01024601,8,9,5,-3,-4,-40.3%,-46.0%,"21,362","16,334"
E01024602,8,8,6,-2,-2,-28.2%,-28.2%,"26,891","25,006"
E01024603,6,6,5,-1,-1,-22.9%,-22.9%,"28,953","27,283"
E01024604,4,4,3,-1,-1,-15.1%,-15.1%,"31,504","30,177"
E01024605,4,4,3,-1,-1,-15.1%,-15.1%,"31,504","30,177"
E01024606,16,18,6,-11,-12,-63.9%,-66.9%,"9,053","5,701"
E01024608,18,21,12,-6,-9,-35.9%,-43.8%,"23,485","17,389"
E01024609,8,10,6,-2,-3,-23.4%,-33.3%,"28,764","22,634"
E01024610,5,5,5,0,0,0.0%,-5.7%,"35,411","33,032"
E01024611,9,9,7,-2,-2,-23.7%,-25.9%,"28,644","26,001"
E01024612,9,9,7,-2,-2,-23.7%,-25.9%,"28,644","26,001"
E01024613,9,10,6,-3,-3,-28.2%,-33.2%,"26,886","22,686"
E01024614,9,10,6,-3,-3,-28.6%,-33.7%,"26,697","22,480"
E01024615,3,3,2,-1,-1,-31.4%,-30.3%,"25,485","24,005"
E01024616,5,6,4,-1,-2,-28.4%,-37.5%,"26,773","20,649"
E01024618,2,3,2,0,-1,-18.1%,-24.9%,"30,634","26,438"
E01024619,7,7,6,-1,-1,-14.1%,-14.1%,"31,803","30,509"
E01024620,6,6,6,-1,-1,-11.6%,-11.6%,"32,470","31,316"
E01024621,6,6,6,-1,-1,-12.4%,-12.4%,"32,236","31,061"
E01024622,3,3,2,-1,-1,-34.4%,-34.4%,"24,167","22,151"
E01024623,2,2,2,-1,-1,-32.8%,-32.8%,"24,843","22,898"
E01024624,3,3,2,-2,-2,-51.3%,-49.7%,"15,543","14,442"
E01024625,8,8,6,-2,-2,-26.6%,-26.6%,"27,491","25,685"
E01024626,4,4,2,-2,-1,-45.1%,-37.7%,"18,926","20,543"
E01024627,4,4,3,-1,-1,-28.7%,-28.7%,"26,660","24,765"
E01024628,1,1,1,0,0,-23.8%,-29.4%,"28,622","24,477"
E01024629,3,3,2,-2,-1,-50.4%,-47.1%,"16,088","15,799"
E01024630,1,1,1,0,0,-22.8%,-38.1%,"28,996","20,386"
E01024631,1,1,1,-1,0,-53.0%,-32.6%,"14,644","22,985"
E01024632,1,2,1,0,-1,-20.3%,-34.1%,"29,890","22,273"
E01024633,19,19,12,-7,-7,-36.7%,-36.7%,"23,144","21,079"
E01024634,21,21,14,-7,-7,-32.9%,-33.8%,"24,787","22,418"
E01024635,17,20,12,-5,-8,-29.0%,-38.1%,"26,522","20,367"
E01024636,6,7,4,-3,-3,-46.0%,-46.7%,"18,475","16,042"
E01024637,9,9,6,-2,-3,-27.5%,-29.3%,"27,153","24,534"
E01024638,14,16,13,-1,-3,-8.5%,-21.5%,"33,341","27,833"
E01024639,13,15,12,-1,-3,-4.2%,-18.6%,"34,443","28,948"
E01024640,13,13,11,-2,-2,-16.5%,-18.1%,"31,112","29,115"
E01024641,13,15,12,-1,-3,-5.2%,-20.0%,"34,196","28,397"
E01024642,2,2,1,0,0,-12.4%,-11.3%,"32,241","31,427"
E01024643,20,20,15,-5,-5,-24.6%,-24.6%,"28,303","26,540"
E01024644,19,19,12,-7,-7,-37.4%,-37.4%,"22,776","20,689"
E01024645,21,20,15,-6,-5,-26.8%,-24.7%,"27,405","26,529"
E01024646,24,23,19,-6,-5,-22.8%,-19.8%,"29,012","28,472"
E01024647,21,20,16,-5,-4,-23.3%,-20.1%,"28,806","28,381"
E01024648,22,21,16,-6,-5,-25.4%,-24.4%,"28,014","26,653"
E01024649,23,22,18,-5,-4,-20.7%,-17.2%,"29,746","29,417"
E01024650,4,4,3,0,0,-11.1%,-13.1%,"32,596","30,822"
E01024651,21,21,16,-4,-4,-21.2%,-20.5%,"29,568","28,216"
E01024652,3,4,2,-1,-1,-36.4%,-37.8%,"23,274","20,479"
E01024653,4,4,3,-1,-1,-34.2%,-34.2%,"24,244","22,239"
E01024654,20,20,14,-6,-6,-29.3%,-29.3%,"26,397","24,512"
E01024655,20,20,14,-5,-5,-26.5%,-26.5%,"27,540","25,727"
E01024656,20,20,14,-6,-6,-28.8%,-28.8%,"26,616","24,731"
E01024657,23,23,18,-5,-5,-21.5%,-21.5%,"29,447","27,809"
E01024658,24,24,19,-5,-5,-21.8%,-21.8%,"29,343","27,697"
E01024659,25,25,19,-5,-5,-21.4%,-21.4%,"29,485","27,856"
E01024660,19,19,14,-5,-5,-26.5%,-26.5%,"27,540","25,727"
E01024661,33,33,26,-7,-7,-19.9%,-21.0%,"30,011","28,028"
E01024662,22,23,17,-5,-6,-24.1%,-25.1%,"28,487","26,323"
E01024663,6,6,5,-1,-1,-15.6%,-15.6%,"31,380","29,994"
E01024664,12,12,11,-1,-1,-11.5%,-11.5%,"32,499","31,341"
E01024665,24,24,18,-5,-5,-21.5%,-21.5%,"29,477","27,842"
E01024666,9,9,8,-1,-1,-9.6%,-9.6%,"33,066","31,895"
E01024667,24,23,19,-6,-5,-22.9%,-19.8%,"28,975","28,489"
E01024668,14,14,12,-2,-2,-13.8%,-13.8%,"31,874","30,635"
E01024669,16,16,13,-3,-3,-16.9%,-16.9%,"30,999","29,542"
E01024670,15,15,12,-4,-4,-23.1%,-23.1%,"28,884","27,220"
E01024671,22,23,15,-7,-8,-30.8%,-34.6%,"25,732","22,026"
E01024672,12,12,11,-2,-2,-14.0%,-14.0%,"31,834","30,552"
E01024673,11,12,9,-3,-3,-22.5%,-23.2%,"29,120","27,187"
E01024674,18,19,15,-3,-4,-17.6%,-18.9%,"30,766","28,807"
E01024675,7,7,2,-5,-5,-68.5%,-68.4%,"6,888","5,062"
E01024676,34,34,28,-6,-6,-16.8%,-18.0%,"31,037","29,138"
E01024677,24,24,22,-1,-1,-5.7%,-5.7%,"34,049","33,032"
E01024678,34,34,28,-6,-6,-17.1%,-18.3%,"30,961","29,046"
E01024679,5,5,3,-2,-1,-32.9%,-32.3%,"24,796","23,108"
E01024680,22,21,16,-6,-5,-25.4%,-23.9%,"27,999","26,869"
E01024681,22,21,16,-5,-5,-25.1%,-23.7%,"28,132","26,993"
E01024682,8,7,4,-4,-2,-47.2%,-35.2%,"17,836","21,691"
E01024683,12,8,5,-7,-3,-60.8%,-42.2%,"10,615","18,231"
E01024684,20,20,16,-5,-4,-23.0%,-20.9%,"28,924","28,059"
E01024685,18,18,14,-4,-4,-21.7%,-21.7%,"29,408","27,760"
E01024686,19,19,15,-4,-4,-22.6%,-22.6%,"29,066","27,373"
E01024687,19,19,15,-5,-4,-23.2%,-21.3%,"28,836","27,916"
E01024688,23,23,18,-5,-5,-21.3%,-21.3%,"29,532","27,924"
E01024689,11,9,5,-6,-4,-53.3%,-45.8%,"14,462","16,426"
E01024690,7,7,3,-3,-3,-50.8%,-50.8%,"15,806","13,860"
E01024691,22,22,18,-4,-4,-18.4%,-18.4%,"30,517","29,008"
E01024692,24,24,16,-8,-8,-33.6%,-33.6%,"24,510","22,528"
E01024693,20,20,13,-7,-7,-34.7%,-34.7%,"24,021","21,983"
E01024694,18,18,20,2,2,10.3%,10.3%,"37,141","36,385"
E01024695,18,18,18,-1,-1,-3.2%,-3.2%,"34,668","33,654"
E01024696,12,12,13,1,1,5.3%,5.3%,"36,397","35,552"
E01024697,18,18,17,0,0,-1.4%,-1.4%,"35,105","34,148"
E01024698,16,16,13,-3,-3,-16.6%,-16.6%,"31,070","29,638"
E01024699,14,14,14,-1,-1,-4.8%,-4.8%,"34,267","33,249"
E01024700,16,16,15,-1,-1,-8.1%,-8.1%,"33,454","32,375"
E01024701,5,6,4,-1,-2,-23.0%,-29.3%,"28,900","24,518"
E01024702,2,2,1,-1,-1,-44.0%,-38.5%,"19,458","20,188"
E01024703,10,10,9,-1,-1,-8.7%,-8.7%,"33,294","32,180"
E01024704,2,2,1,-1,-1,-41.8%,-36.0%,"20,598","21,362"
E01024705,19,19,15,-4,-4,-22.2%,-22.2%,"29,204","27,533"
E01024706,20,20,15,-5,-5,-24.7%,-24.7%,"28,253","26,487"
E01024707,20,20,15,-5,-5,-24.0%,-24.0%,"28,554","26,863"
E01024708,20,20,15,-5,-5,-24.8%,-24.8%,"28,232","26,456"
E01024709,20,20,15,-5,-5,-23.2%,-23.2%,"28,825","27,162"
E01024710,19,19,15,-4,-4,-18.5%,-19.8%,"30,496","28,495"
E01024711,18,19,15,-3,-4,-17.2%,-18.9%,"30,894","28,807"
E01024712,14,14,11,-3,-3,-22.8%,-23.7%,"29,004","26,946"
E01024713,14,15,11,-3,-4,-23.2%,-24.9%,"28,829","26,417"
E01024714,13,15,12,-1,-3,-7.2%,-21.6%,"33,691","27,803"
E01024715,13,15,12,-1,-3,-7.5%,-21.6%,"33,596","27,803"
E01024716,13,15,12,-1,-3,-11.0%,-19.0%,"32,634","28,768"
E01024717,19,21,7,-12,-14,-65.0%,-68.2%,"8,481","5,134"
E01024718,13,13,7,-6,-7,-49.4%,-50.4%,"16,613","14,084"
E01024719,9,10,5,-4,-5,-46.9%,-52.3%,"17,980","13,026"
E01024720,20,20,7,-13,-13,-65.4%,-64.5%,"8,305","6,793"
E01024721,14,11,3,-12,-8,-81.2%,-75.3%,"1,656","2,387"
E01024722,14,13,5,-10,-9,-67.6%,-65.7%,"7,304","6,289"
E01024723,2,2,1,-1,-1,-37.9%,-48.5%,"22,523","15,060"
E01024724,2,2,0,-2,-1,-76.7%,-73.5%,"3,230","3,026"
E01024725,4,4,2,-2,-2,-57.2%,-60.2%,"12,469","8,895"
E01024726,4,4,2,-2,-2,-57.2%,-60.2%,"12,469","8,895"
E01024727,4,5,1,-3,-4,-80.5%,-86.2%,"1,862",370
E01024728,4,6,1,-4,-5,-87.0%,-90.4%,539,159
E01024729,12,12,13,0,0,3.3%,3.3%,"36,050","35,178"
E01024730,8,8,8,0,0,-3.7%,-3.7%,"34,547","33,522"
E01024731,7,7,4,-3,-3,-39.8%,-43.2%,"21,646","17,747"
E01024732,20,20,20,0,0,0.8%,0.8%,"35,620","34,688"
E01024733,16,16,18,1,1,6.6%,6.6%,"36,595","35,775"
E01024734,15,13,13,-2,0,-13.9%,-2.4%,"31,847","33,884"
E01024735,13,13,7,-6,-7,-48.3%,-49.6%,"17,173","14,514"
E01024736,13,13,6,-7,-7,-50.6%,-51.7%,"15,952","13,386"
E01024737,13,13,6,-6,-6,-49.8%,-50.0%,"16,369","14,311"
E01024740,9,9,4,-5,-5,-53.0%,-55.2%,"14,654","11,492"
E01024741,13,13,7,-6,-6,-46.7%,-46.9%,"18,104","15,954"
E01024742,12,13,7,-6,-6,-46.1%,-49.9%,"18,412","14,335"
E01024743,3,3,3,1,1,28.5%,28.5%,"39,025","38,671"
E01024744,3,3,3,0,0,16.0%,16.0%,"37,829","37,256"
E01024745,6,6,6,0,0,1.4%,1.4%,"35,725","34,815"
E01024746,4,4,5,1,1,33.1%,33.1%,"39,430","39,048"
E01024747,4,4,5,1,1,11.4%,11.4%,"37,286","36,597"
E01024748,5,5,6,1,1,10.3%,10.3%,"37,144","36,388"
E01024749,6,6,4,-2,-2,-35.3%,-36.5%,"23,765","21,141"
E01024750,10,11,9,-1,-2,-13.4%,-16.8%,"31,996","29,583"
E01024751,10,11,9,-1,-2,-14.0%,-17.5%,"31,819","29,338"
E01024752,7,5,5,-2,0,-27.5%,-2.7%,"27,158","33,776"
E01024753,7,5,5,-1,0,-18.5%,-3.5%,"30,500","33,585"
E01024754,7,6,6,-1,0,-15.9%,-3.9%,"31,301","33,475"
E01024755,3,3,2,-2,-2,-49.0%,-49.0%,"16,790","14,781"
E01024756,46,46,21,-25,-25,-55.2%,-55.2%,"13,467","11,437"
E01024757,21,21,21,0,0,1.9%,1.9%,"35,797","34,904"
E01024758,13,12,9,-3,-3,-26.5%,-21.4%,"27,554","27,851"
E01024760,8,9,5,-4,-5,-43.6%,-49.5%,"19,702","14,556"
E01024761,11,11,6,-6,-6,-50.4%,-49.8%,"16,071","14,379"
E01024762,10,10,5,-5,-5,-47.5%,-47.2%,"17,625","15,777"
E01024763,13,13,7,-6,-7,-48.7%,-49.1%,"16,952","14,756"
E01024764,13,13,7,-7,-7,-49.8%,-50.2%,"16,363","14,180"
E01024765,12,13,6,-6,-6,-46.6%,-50.4%,"18,135","14,077"
E01024766,21,21,21,1,1,3.4%,3.4%,"36,068","35,198"
E01024767,4,4,8,4,4,79.9%,79.9%,"41,193","41,042"
E01024768,22,20,20,-2,0,-9.8%,-1.0%,"32,993","34,252"
E01024771,6,6,5,-1,-1,-16.2%,-19.8%,"31,190","28,495"
E01024772,6,6,5,-1,-2,-23.8%,-25.4%,"28,600","26,184"
E01024773,6,6,5,-2,-1,-26.5%,-21.8%,"27,549","27,727"
E01024774,6,6,4,-1,-2,-22.6%,-25.8%,"29,086","26,020"
E01024775,8,8,8,0,0,-3.7%,-3.7%,"34,547","33,522"
E01024776,5,5,3,-2,-2,-42.6%,-43.5%,"20,207","17,581"
E01024777,7,7,4,-2,-3,-35.7%,-38.4%,"23,596","20,220"
E01024778,21,21,21,0,0,-0.5%,-0.5%,"35,312","34,355"
E01024779,21,21,21,0,0,2.1%,2.1%,"35,837","34,969"
E01024780,15,13,11,-4,-2,-27.9%,-14.4%,"27,011","30,393"
E01024781,4,4,8,4,4,111.7%,111.7%,"41,484","41,390"
E01024782,9,9,7,-2,-2,-26.2%,-26.1%,"27,659","25,916"
E01024783,10,10,5,-5,-5,-50.4%,-53.0%,"16,088","12,716"
E01024784,6,6,4,-2,-2,-29.7%,-32.9%,"26,227","22,861"
E01024785,15,16,8,-7,-8,-45.5%,-49.6%,"18,713","14,531"
E01024786,3,3,2,-1,-2,-36.2%,-50.0%,"23,354","14,298"
E01024787,3,3,3,0,0,-10.0%,14.7%,"32,940","37,048"
E01024788,3,3,3,0,0,-8.8%,16.5%,"33,273","37,340"
E01024789,1,1,1,0,0,-0.8%,6.9%,"35,246","35,840"
E01024790,3,3,3,0,0,-10.3%,12.1%,"32,872","36,685"
E01024791,3,3,3,0,0,-8.9%,12.1%,"33,231","36,685"
E01024792,1,1,1,0,0,15.0%,13.0%,"37,723","36,802"
E01024793,3,3,3,0,0,5.9%,5.9%,"36,500","35,680"
E01024794,1,1,1,0,0,15.0%,13.0%,"37,723","36,802"
E01024795,26,26,14,-12,-12,-44.6%,-44.6%,"19,208","17,027"
E01024796,35,37,22,-13,-15,-37.1%,-40.3%,"22,922","19,181"
E01024797,20,18,9,-11,-9,-54.2%,-49.5%,"13,993","14,594"
E01024798,2,2,2,0,0,1.1%,1.1%,"35,676","34,747"
E01024799,33,35,17,-16,-17,-48.3%,-50.1%,"17,199","14,246"
E01024800,2,2,2,0,0,20.5%,18.4%,"38,315","37,568"
E01024801,55,56,35,-21,-21,-37.1%,-37.9%,"22,947","20,449"
E01024802,35,35,21,-15,-15,-41.8%,-41.8%,"20,619","18,412"
E01024803,3,3,5,2,3,57.2%,97.2%,"40,573","41,293"
E01024804,2,2,2,0,0,5.6%,6.8%,"36,458","35,823"
E01024805,1,2,1,-1,-1,-44.6%,-54.5%,"19,208","11,814"
E01024806,2,2,2,0,0,14.9%,15.6%,"37,716","37,197"
E01024807,7,6,6,-1,0,-9.9%,1.3%,"32,963","34,802"
E01024808,8,8,7,0,-1,-4.8%,-8.1%,"34,261","32,368"
E01024809,5,5,3,-2,-2,-33.8%,-34.9%,"24,412","21,878"
E01024810,6,6,4,-1,-1,-21.1%,-24.6%,"29,607","26,567"
E01024811,3,3,3,0,0,9.2%,9.2%,"36,965","36,217"
E01024812,1,0,0,-1,0,-73.8%,-17.5%,"4,444","29,334"
E01024813,3,3,4,0,0,14.0%,14.0%,"37,612","36,950"
E01024814,3,3,3,0,0,11.7%,11.7%,"37,324","36,634"
E01024815,3,3,4,0,0,10.5%,10.5%,"37,175","36,444"
E01024816,3,3,4,1,1,18.3%,18.3%,"38,094","37,558"
E01024817,26,27,19,-7,-8,-26.8%,-29.1%,"27,424","24,607"
E01024818,10,10,7,-3,-3,-28.9%,-28.4%,"26,579","24,916"
E01024819,52,54,33,-19,-21,-36.4%,-39.0%,"23,235","19,904"
