"msoa21","msoa21_name","heat_risk","social_risk","heat_enhanced_risk","lst_maxday_mean","lst_daynight_mean","lst_daynight_decile","airtemp_maxday_mean","airtemp_daynight_mean","airtemp_daynight_decile","under5","under5_pct","over75","over75_pct","people_of_colour","people_of_colour_pct","disabled_persons","disabled_persons_pct","life_expectancy_average","life_expectancy_decile","care_or_nursing_home_n","hospital_n","nurseries_n"
"E02002953","Bradeley & Chell Heath","highest heat risk","Highest heat risk","High heat and enhanced risk",36.68,25.55,7,36.37,28.93,3,401,0.0545949625595643,683,0.0929884275017018,515,0.07,1819,0.248,79.5,3,2,0,0
"E02002954","Norton","highest heat risk","Highest heat risk","High heat and enhanced risk",35.43,24.56,9,36.39,28.89,3,504,0.0601719197707736,696,0.0830945558739255,567,0.068,1897,0.228,78.7,2,1,0,2
"E02002955","Tunstall","highest heat risk","Highest heat risk","High heat and enhanced risk",38.51,26.28,5,36.53,29.1,3,602,0.0802345728375317,333,0.0443822471011595,3013,0.404,1484,0.199,76.7,1,2,0,3
"E02002956","Little Chell & Stanfield","highest heat risk","Highest heat risk","High heat and enhanced risk",38.59,26.69,4,36.54,29.12,3,522,0.0567083107007061,619,0.067246061922868,1409,0.153,2023,0.219,76.4,1,6,1,1
"E02002957","Baddley & Milton","highest heat risk","Lowest heat risk","High heat, not enhanced risk",35.21,24.2,9,36.42,28.86,3,443,0.0461843202668891,1195,0.124582985821518,451,0.047,1815,0.19,81.6,5,2,0,2
"E02002958","Smallthorne & Sneyd Green","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.92,26.51,5,36.53,29.11,3,484,0.0571428571428571,641,0.0756788665879575,882,0.104,1716,0.203,78.9,2,1,0,2
"E02002959","Longport & Burslem Park","highest heat risk","Highest heat risk","High heat and enhanced risk",39.16,27.18,3,36.63,29.28,2,668,0.072885979268958,446,0.0486633933442444,2713,0.3,1991,0.22,74.8,1,4,0,0
"E02002960","Birches Head","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.4,26.11,5,36.53,29.1,3,246,0.0436247561624402,441,0.0782053555594964,662,0.116,1045,0.183,81.2,5,1,0,0
"E02002961","Cobridge & Central Forest","highest heat risk","Highest heat risk","High heat and enhanced risk",39.2,27.23,3,36.66,29.31,2,590,0.0768930014335983,366,0.0476997263130457,2927,0.402,1362,0.187,76.4,1,0,1,3
"E02002962","Abbey Hulton","highest heat risk","Highest heat risk","High heat and enhanced risk",36.5,25.32,7,36.47,28.97,3,523,0.0662444585180494,568,0.0719442685243825,651,0.083,2041,0.259,76.9,1,1,0,0
"E02002963","Northwood","highest heat risk","Highest heat risk","High heat and enhanced risk",39.67,27.41,3,36.61,29.24,2,432,0.0604280318925724,364,0.0509162120576304,1559,0.22,1562,0.22,77.3,1,1,0,3
"E02002964","Townsend & Eaton Park","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.53,25.86,6,36.65,29.13,3,422,0.0488030530819938,913,0.105585752284029,524,0.061,2034,0.235,79.7,3,4,0,1
"E02002965","Hanley & Etruria","highest heat risk","Highest heat risk","High heat and enhanced risk",39.55,27.5,3,36.72,29.49,2,629,0.0741745283018868,271,0.0319575471698113,4718,0.566,1470,0.176,75,1,12,0,4
"E02002966","Shelton & Joiner's Square","highest heat risk","Highest heat risk","High heat and enhanced risk",39.56,27.54,3,36.85,29.41,2,673,0.0634127956280034,252,0.0237444643361915,3607,0.349,1864,0.18,78.1,2,0,0,3
"E02002967","Bentilee & Ubberley","highest heat risk","Highest heat risk","High heat and enhanced risk",36.03,24.81,8,36.4,28.96,3,840,0.0792901642439117,519,0.0489899943364168,960,0.092,2615,0.25,74.4,1,4,0,2
"E02002968","Basford & Hartshill","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.31,27.34,3,36.7,29.57,1,547,0.056795763679784,624,0.0647907797736476,2175,0.229,1685,0.177,77.5,1,5,3,3
"E02002969","Boothen & Penkhull","highest heat risk","Highest heat risk","High heat and enhanced risk",39.89,27.61,3,36.79,29.51,2,583,0.0610087902888238,506,0.0529510255336961,1751,0.185,1896,0.201,77.6,2,1,0,4
"E02002970","Fenton","highest heat risk","Highest heat risk","High heat and enhanced risk",39.28,27.35,3,36.85,29.37,2,622,0.0777014366021237,481,0.0600874453466583,946,0.119,1859,0.234,76.9,1,3,0,2
"E02002973","Oakhill & Trent Vale","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.8,26.58,5,36.72,29.43,2,426,0.0522442972774099,457,0.0560461123375031,1582,0.195,1661,0.205,79.9,3,2,0,4
"E02002974","Weston Coyney","highest heat risk","Medium heat risk","High heat, not enhanced risk",36.56,25.75,6,36.42,28.84,3,283,0.0461588647855162,800,0.130484423421954,255,0.041,1404,0.228,80.7,4,4,0,5
"E02002975","Longton East","highest heat risk","Lowest heat risk","High heat, not enhanced risk",35.84,25.45,7,36.39,28.89,3,382,0.0547905909351692,543,0.0778829604130809,326,0.046,1260,0.176,83.3,8,1,0,0
"E02002976","Hollybush & Blurton North","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.63,26.21,5,36.84,29.22,2,312,0.0523402113739306,472,0.0791813454118437,441,0.074,1295,0.217,80,3,3,0,3
"E02002977","Dresden","highest heat risk","Highest heat risk","High heat and enhanced risk",39.65,27.39,3,36.76,29.09,3,229,0.0412463976945245,809,0.14571325648415,547,0.098,1497,0.269,77.1,1,4,1,1
"E02002978","Meir North","highest heat risk","Highest heat risk","High heat and enhanced risk",36.96,25.68,6,36.36,28.75,4,469,0.0684271957980741,433,0.0631747884447038,535,0.079,1629,0.24,77.6,2,1,0,1
"E02002979","Florence","highest heat risk","Highest heat risk","High heat and enhanced risk",39.23,27.16,3,36.73,28.96,3,547,0.086866761950135,314,0.0498650150865491,3196,0.523,1073,0.175,84.5,9,3,0,2
"E02002980","Hanford & Trentham West","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.9,25.07,8,36.7,29.18,2,257,0.0426981226117295,862,0.143213158331949,537,0.089,1216,0.202,82.4,7,3,0,1
"E02002981","Meir South & Lightwood","highest heat risk","Highest heat risk","High heat and enhanced risk",36.63,25.37,7,36.45,28.79,4,537,0.0629173989455185,468,0.0548330404217926,1529,0.178,1695,0.197,77.4,1,3,0,1
"E02002982","Newstead & Blurton South","highest heat risk","Highest heat risk","High heat and enhanced risk",36.74,25.08,8,36.83,28.96,3,637,0.0721649484536082,316,0.0357992522940977,957,0.11,1980,0.228,77.3,1,0,0,2
"E02002983","Meir Park","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.62,25.98,6,36.17,28.63,4,216,0.0406549971767363,566,0.106531150009411,219,0.041,989,0.186,83.1,8,0,0,1
"E02002984","Trentham East","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.67,25.01,8,36.69,28.86,3,214,0.0394688306897824,602,0.111029140538547,327,0.06,937,0.171,77.4,1,4,0,1
"E02006974","Longton West & Sandford Hill","highest heat risk","Highest heat risk","High heat and enhanced risk",38.79,27.05,4,36.59,29.08,3,584,0.0537852274820409,695,0.0640081046233192,927,0.084,2578,0.235,77.7,2,0,0,2
"E02006504","Earlswood, Tanworth-in-Arden & Sambourne","lower heat risk","Lowest heat risk","Lower heat risk",38.3,25.32,7,37.32,28.11,6,187,0.031684174855981,758,0.128431040325313,384,0.065,784,0.133,83.5,8,4,0,4
"E02006505","Henley-in-Arden & Claverdon","lower heat risk","Medium heat risk","Lower heat risk",39.67,25.81,6,37.81,27.91,7,253,0.0360039846307101,1103,0.156965988330724,213,0.031,1210,0.174,84.4,9,1,0,3
"E02006506","Studley","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.27,25.92,6,37.38,28.59,4,264,0.0435284418796373,765,0.126133553173949,214,0.035,1147,0.19,82.3,6,2,0,2
"E02006507","Southam, Stockton & Napton","lower heat risk","Lowest heat risk","Lower heat risk",39.55,25.58,7,38.56,28.23,6,644,0.0555028871843489,1058,0.0911833146600017,463,0.042,1670,0.151,81.9,6,2,0,6
"E02006508","Harbury, Long Itchington & Fenny Compton","lower heat risk","Lowest heat risk","Lower heat risk",39.49,25.61,7,38.41,28.06,6,627,0.0544081916001388,1159,0.100572717806317,395,0.035,1582,0.142,85,10,2,0,3
"E02006509","Alcester","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.17,26.03,6,37.36,28.33,5,203,0.0343485617597293,836,0.141455160744501,246,0.042,1155,0.197,82.1,6,1,0,2
